"workflows","Workflows"
"enabled","Enabled"
"add_workflow","Add Workflow"
"enter_the_name_of_the_new_workflow","Enter the name of the new workflow"
"problem_creating_new_workflow","There was a problem during creating a new workflow"
"allow_unpusblished","Allow Unpublished"
"default_state","Default State"
"default_status","Default Status"
"types","Types"
"statuses","Statuses"
"states","States"
"element_published","Element Published"
"notes_required","Notes Required"
"notes_type","Notes Type"
"notes_title","Notes Title"
"transition_to","Transition To"
"additional_fields","Additional Fields"
"field_type","Field Type"
"blank_text","Blank Text"
"setter_function","Setter Function"
"transition_definition","Transition Definition"
"global_actions","Global Actions"
"add_workflow_action","Add Workflow Action"
"enter_the_name_of_the_new_workflow_action","Enter the name of the new workflow action"
"add_workflow_status","Add Workflow Status"
"enter_the_name_of_the_new_workflow_status","Enter the name of the new workflow status"
"add_workflow_state","Add Workflow State"
"enter_the_name_of_the_new_workflow_state","Enter the name of the new workflow State"
"add_workflow_transition","Add Workflow Transition"
"problem_creating_new_workflow_action_transition","Problem creating new workflow action transition"
"state","State"
"notification_users","Notification Users"
"workflow_saved_successfully","Workflow Definition has been saved"
